epoch,acc,loss,val_acc,val_loss
0,0.3309415165986207,1.7726334819242604,0.381861242685985,1.6906232162251318
1,0.4289247274415413,1.5299170647898563,0.4704653107047114,1.4358516760143472
2,0.4681807098824376,1.4224557141084408,0.5044580663137365,1.3481839942746123
3,0.49521056115222434,1.3519679022381774,0.46308163833937027,1.460886961372824
4,0.5115469016726186,1.306811289074088,0.5111451657926448,1.3621875239999621
5,0.5258281375199277,1.271349590735864,0.5331568682416298,1.2569767451943976
6,0.5327945940338991,1.246324786825478,0.5564224017915304,1.1739286919030747
7,0.5410498449973807,1.2267823172502539,0.5724435776065205,1.153224597139324
8,0.5525096659625626,1.2010793377166467,0.5395653385344107,1.1977302877974065
9,0.5564805461722667,1.1836753824226884,0.5633881303984397,1.1461823252988546
10,0.5615660594280264,1.1764073527516599,0.5809417665087768,1.1230947199091004
11,0.5692291615890349,1.1553819535659637,0.5766230148005599,1.1327680294877076
12,0.5702741300678954,1.1506781961905503,0.5681248258899998,1.2149650531912555
13,0.5734438677787316,1.1369479609186022,0.5530788520313166,1.174183135346205
14,0.5758124629948521,1.1302649862087193,0.594176650910897,1.0946451738107235
15,0.5846250304787662,1.1131020848988333,0.5940373363385927,1.0942185457518718
16,0.5872374516743603,1.107591917482496,0.5706324881416538,1.1392277508733266
17,0.5855655021094293,1.1007746319303426,0.5952911674561159,1.1057093004955825
18,0.5894318854756073,1.095242473730253,0.606993591529674,1.0655598364423728
19,0.593089275142276,1.0894742856878086,0.5965449986234619,1.0984086930569117
20,0.5955623672029609,1.085614878188987,0.6051825020897186,1.0508232197412113
21,0.594169075903696,1.0771634872440776,0.5934800779995529,1.1028520889553262
22,0.5967118325274235,1.0710959549778005,0.6092226246699346,1.071094375395383
23,0.6021805008902994,1.069799756128888,0.6018389523710239,1.0661566975755126
24,0.6027029851307677,1.0582839390913386,0.6075508498022835,1.066531207342937
